Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,4,16384,12.29
0,4,32768,10.58
0,4,65536,15.29
0,4,131072,26.64
0,4,262144,62.50
0,4,524288,117.63
0,4,1048576,210.75
0,8,1,1.79
0,8,2,0.72
0,8,4,1.40
0,8,8,0.58
0,8,16,0.65
0,8,32,2.80
0,8,64,1.27
0,8,128,16.10
0,8,256,6.36
0,8,512,9.51
0,8,1024,5.24
0,8,2048,14.11
0,8,4096,17.43
0,8,8192,17.65
0,8,16384,14.56
0,8,32768,52.07
0,8,65536,37.92
0,8,131072,66.08
0,8,262144,134.59
0,8,524288,281.18
0,8,1048576,601.51
0,16,1,0.81
0,16,2,1.07
0,16,4,2.82
0,16,8,1.07
0,16,16,0.62
0,16,32,0.59
0,16,64,1.08
0,16,128,11.30
0,16,256,5.98
0,16,512,7.84
0,16,1024,7.61
0,16,2048,16.28
0,16,4096,21.51
0,16,8192,26.99
0,16,16384,22.64
0,16,32768,36.54
0,16,65536,71.83
0,16,131072,142.07
0,16,262144,282.31
0,16,524288,580.36
0,16,1048576,1460.05
0,32,1,2.71
0,32,2,13.92
0,32,4,2.97
0,32,8,3.01
0,32,16,3.50
0,32,32,2.55
0,32,64,5.58
0,32,128,13.15
0,32,256,11.31
0,32,512,20.92
0,32,1024,18.02
0,32,2048,31.26
0,32,4096,49.42
0,32,8192,44.20
0,32,16384,20.73
0,32,32768,35.98
0,32,65536,68.31
0,32,131072,144.89
0,32,262144,276.73
0,32,524288,552.86
0,32,1048576,1119.88
0,48,1,97.67
0,48,2,12.93
0,48,4,4.56
0,48,8,4.40
0,48,16,4.60
0,48,32,4.22
0,48,64,23.30
0,48,128,36.70
0,48,256,21.91
0,48,512,17.66
0,48,1024,27.70
0,48,2048,32.89
0,48,4096,43.50
0,48,8192,55.70
0,48,16384,47.15
0,48,32768,44.79
0,48,65536,80.00
0,48,131072,168.56
0,48,262144,375.97
0,48,524288,732.87
0,48,1048576,1248.48
0,64,1,2.11
0,64,2,19.20
0,64,4,7.36
0,64,8,8.53
0,64,16,13.90
0,64,32,11.52
0,64,64,39.76
0,64,128,30.75
0,64,256,16.51
0,64,512,16.48
0,64,1024,17.05
0,64,2048,20.18
0,64,4096,39.80
0,64,8192,49.56
0,64,16384,27.59
0,64,32768,53.30
0,64,65536,94.77
0,64,131072,189.78
0,64,262144,390.59
0,64,524288,873.34
0,64,1048576,1390.69
0,96,1,3.58
0,96,2,14.16
0,96,4,11.39
0,96,8,5.88
0,96,16,4.39
0,96,32,4.13
0,96,64,8.42
0,96,128,15.24
0,96,256,25.24
0,96,512,24.64
0,96,1024,32.06
0,96,2048,40.85
0,96,4096,44.32
0,96,8192,56.59
0,96,16384,32.26
0,96,32768,53.45
0,96,65536,101.76
0,96,131072,208.97
0,96,262144,457.72
0,96,524288,944.54
0,96,1048576,1539.37
0,128,1,5.96
0,128,2,35.98
0,128,4,12.99
0,128,8,15.57
0,128,16,20.26
0,128,32,16.49
0,128,64,82.02
0,128,128,26.21
0,128,256,42.67
0,128,512,37.89
0,128,1024,55.25
0,128,2048,51.39
0,128,4096,74.08
0,128,8192,136.46
0,128,16384,130.00
0,128,32768,273.08
0,128,65536,128.76
0,128,131072,303.72
0,128,262144,541.36
0,128,524288,1110.41
0,128,1048576,1911.57
0,176,1,626.52
0,176,2,21.38
0,176,4,9.71
0,176,8,12.32
0,176,16,11.12
0,176,32,13.12
0,176,64,64.11
0,176,128,31.32
0,176,256,43.90
0,176,512,54.52
0,176,1024,44.07
0,176,2048,54.33
0,176,4096,63.77
0,176,8192,82.85
0,176,16384,162.60
0,176,32768,316.29
0,176,65536,160.85
0,176,131072,287.56
0,176,262144,604.87
0,176,524288,1232.20
0,176,1048576,2051.59
0,224,1,261.40
0,224,2,19.30
0,224,4,12.93
0,224,8,9.31
0,224,16,60.90
0,224,32,15.37
0,224,64,14.56
0,224,128,164.02
0,224,256,296.78
0,224,512,154.91
0,224,1024,50.56
0,224,2048,67.79
0,224,4096,104.20
0,224,8192,115.00
0,224,16384,209.42
0,224,32768,358.03
0,224,65536,149.64
0,224,131072,274.69
0,224,262144,565.07
0,224,524288,1128.12
0,224,1048576,1999.51
0,256,1,7.01
0,256,2,2.38
0,256,4,2.45
0,256,8,1.97
0,256,16,1.05
0,256,32,1.74
0,256,64,3.12
0,256,128,16.17
0,256,256,26.48
0,256,512,20.95
0,256,1024,28.66
0,256,2048,36.33
0,256,4096,55.49
0,256,8192,65.24
0,256,16384,1904.89
0,256,32768,88.61
0,256,65536,126.54
0,256,131072,215.09
0,256,262144,458.02
0,256,524288,950.10
0,256,1048576,1616.61
1,2,1,3.98
1,2,2,0.19
1,2,4,0.17
1,2,8,0.16
1,2,16,0.15
1,2,32,0.17
1,2,64,0.20
1,2,128,1.48
1,2,256,8.49
1,2,512,1.40
1,2,1024,1.30
1,2,2048,1.32
1,2,4096,4.00
1,2,8192,6.57
1,2,16384,7.48
1,2,32768,9.95
1,2,65536,8.77
1,2,131072,14.51
1,2,262144,24.20
1,2,524288,46.93
1,2,1048576,91.22
1,4,1,0.45
1,4,2,0.27
1,4,4,0.16
1,4,8,0.15
1,4,16,0.14
1,4,32,0.14
1,4,64,0.13
1,4,128,2.89
1,4,256,4.89
1,4,512,2.70
1,4,1024,5.19
1,4,2048,8.05
1,4,4096,10.12
1,4,8192,10.25
1,4,16384,9.47
1,4,32768,12.89
1,4,65536,15.12
1,4,131072,22.73
1,4,262144,65.25
1,4,524288,121.83
