Algorithm,Processors,Size(bytes),Avg_Latency(us)
5,8,4,5.72
5,8,8,1.74
5,8,16,1.45
5,8,32,2.57
5,8,64,1.77
5,8,128,22.30
5,8,256,21.12
5,8,512,20.83
5,8,1024,39.69
5,8,2048,52.92
5,8,4096,63.56
5,8,8192,93.02
5,8,16384,39.64
5,8,32768,43.71
5,8,65536,73.86
5,8,131072,170.04
5,8,262144,236.96
5,8,524288,457.55
5,8,1048576,904.97
5,12,1,1630.00
5,12,2,5.51
5,12,4,9.89
5,12,8,7.66
5,12,16,6.19
5,12,32,4.83
5,12,64,8.40
5,12,128,33.78
5,12,256,70.41
5,12,512,64.23
5,12,1024,54.70
5,12,2048,74.17
5,12,4096,88.50
5,12,8192,107.50
5,12,16384,46.71
5,12,32768,55.93
5,12,65536,93.59
5,12,131072,155.72
5,12,262144,298.36
5,12,524288,561.58
5,12,1048576,1131.48
5,16,1,5.47
5,16,2,3.29
5,16,4,10.81
5,16,8,16.31
5,16,16,15.99
5,16,32,3.74
5,16,64,2.89
5,16,128,36.09
5,16,256,26.01
5,16,512,51.51
5,16,1024,35.79
5,16,2048,75.11
5,16,4096,103.07
5,16,8192,121.56
5,16,16384,53.26
5,16,32768,67.05
5,16,65536,128.81
5,16,131072,193.39
5,16,262144,367.11
5,16,524288,707.53
5,16,1048576,1330.07
5,24,1,113.16
5,24,2,83.75
5,24,4,6.39
5,24,8,29.29
5,24,16,9.06
5,24,32,6.95
5,24,64,216.20
5,24,128,47.67
5,24,256,52.91
5,24,512,40.88
5,24,1024,52.56
5,24,2048,62.80
5,24,4096,119.04
5,24,8192,152.21
5,24,16384,69.38
5,24,32768,84.67
5,24,65536,139.38
5,24,131072,245.45
5,24,262144,471.86
5,24,524288,876.06
5,24,1048576,1650.75
5,48,1,3123.20
5,48,2,270.02
5,48,4,239.10
5,48,8,22.40
5,48,16,394.20
5,48,32,475.39
5,48,64,53.56
5,48,128,59.73
5,48,256,44.23
5,48,512,117.30
5,48,1024,90.65
5,48,2048,133.76
5,48,4096,127.95
5,48,8192,174.58
5,48,16384,93.98
5,48,32768,128.90
5,48,65536,194.28
5,48,131072,340.67
5,48,262144,620.80
5,48,524288,1262.52
5,48,1048576,2392.24
0,2,1,34.77
0,2,2,0.56
0,2,4,0.64
0,2,8,0.55
0,2,16,0.62
0,2,32,0.75
0,2,64,0.71
0,2,128,7.27
0,2,256,23.44
0,2,512,6.89
0,2,1024,7.04
0,2,2048,7.43
0,2,4096,20.91
0,2,8192,38.26
0,2,16384,59.78
0,2,32768,23.86
0,2,65536,16.91
0,2,131072,25.99
0,2,262144,59.25
0,2,524288,89.66
0,2,1048576,166.74
0,4,1,2.77
0,4,2,0.91
0,4,4,0.89
0,4,8,0.83
0,4,16,0.93
